gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
BOS191706231,ayerd101,WS1,1,value,24,0,34,9,2,0,0,4,2,0,0,0,0,0,0,3,0,0,0,0,,1,,1,,1,19170623,1,BOS07,v,BOS,0,1,0,regular,y,y
BOS191706231,ruthb101,BOS,1,value,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,1,,,19170623,1,BOS07,h,WS1,1,0,0,regular,y,y
BOS191706231,shore101,BOS,2,value,27,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,,,,1,,19170623,1,BOS07,h,WS1,1,0,0,regular,y,y
DET191806030,leond102,BOS,1,value,27,0,28,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,,,1,,1,19180603,0,DET04,v,DET,1,0,0,regular,y,y
DET191806030,daush101,DET,1,value,18,0,28,8,1,1,1,5,3,2,0,5,0,1,0,0,0,3,1,0,,1,,1,,,19180603,0,DET04,h,BOS,0,1,0,regular,y,y
DET191806030,cunng101,DET,2,value,9,0,11,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,,,,,1,,19180603,0,DET04,h,BOS,0,1,0,regular,y,y
CIN191905110,may-j102,SLN,1,value,24,0,37,8,0,0,0,6,4,6,0,2,2,1,0,1,0,5,3,0,,1,,1,,1,19190511,0,CIN07,v,CIN,0,1,0,regular,y,y
CIN191905110,elleh101,CIN,1,value,27,0,28,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,2,0,1,,,1,,1,19190511,0,CIN07,h,SLN,1,0,0,regular,y,y
NYA191909101,caldr101,CLE,1,value,27,0,29,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,,,1,,1,19190910,1,NYC14,v,NYA,1,0,0,regular,y,y
NYA191909101,maysc101,NYA,1,value,27,0,37,6,2,0,1,3,3,3,0,2,1,0,0,3,0,0,0,0,,1,,1,,1,19190910,1,NYC14,h,CLE,0,1,0,regular,y,y
BOS192007010,johnw102,WS1,1,value,27,0,28,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,,,1,,1,19200701,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS192007010,harph101,BOS,1,value,27,0,32,7,0,0,0,1,1,1,0,7,2,0,0,0,0,1,2,0,,1,,1,,1,19200701,0,BOS07,h,WS1,0,1,0,regular,y,y
DT1192106060,suarj101,CNN,1,value,24,,35,11,,,1,4,,1,,3,0,0,0,2,,,,,,1,,1,,1,19210606,0,DET07,v,DT1,0,1,0,regular,y,
DT1192106060,gateb101,DT1,1,value,27,,29,0,,,0,0,0,2,,10,0,0,0,0,,,,,1,,,1,,1,19210606,0,DET07,h,CNN,1,0,0,regular,y,
HIL192109052,hollb106,DT1,1,value,24,,37,8,2,0,0,4,,1,,1,0,0,0,3,,,,,,1,,1,,1,19210905,2,DAR01,v,HIL,0,1,0,exhibition,y,
HIL192109052,cockp101,HIL,1,value,27,,31,0,0,0,0,0,0,2,,2,0,0,0,0,,,,,1,,,1,,1,19210905,2,DAR01,h,DT1,1,0,0,exhibition,y,
DET192204300,robec101,CHA,1,value,27,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,,,1,,1,19220430,0,DET04,v,DET,1,0,0,regular,y,y
DET192204300,pillh101,DET,1,value,27,0,37,7,2,0,0,2,2,2,0,5,0,0,0,3,0,0,0,0,,1,,1,,1,19220430,0,DET04,h,CHA,0,1,0,regular,y,y
NY1192205070,meadl101,PHI,1,value,4,0,10,4,1,0,0,5,5,2,0,0,1,0,0,0,0,1,1,0,,1,,1,,,19220507,0,NYC14,v,NY1,0,1,0,regular,y,y
NY1192205070,smitg104,PHI,2,value,20,0,24,5,2,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,,,,,1,,19220507,0,NYC14,v,NY1,0,1,0,regular,y,y
NY1192205070,barnj102,NY1,1,value,27,0,27,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,,,1,,1,19220507,0,NYC14,h,PHI,1,0,0,regular,y,y
DT1192206270,meyed102,SSN,1,value,24,,35,7,2,0,0,3,,4,,3,1,0,0,1,,,,,,1,,1,,1,19220627,0,DET07,v,DT1,0,1,0,regular,y,
DT1192206270,forcb101,DT1,1,value,27,,30,0,0,0,0,0,0,2,,9,0,0,0,0,,,,,1,,,1,,1,19220627,0,DET07,h,SSN,1,0,0,regular,y,
IN4192207260,wintn101,NBG,1,value,27,0,31,0,0,0,0,1,0,4,0,8,0,0,0,0,0,1,1,0,1,,,1,,1,19220726,0,KOK01,v,IN4,1,0,0,exhibition,y,y
IN4192207260,carrw101,IN4,1,value,24,0,37,12,2,1,0,7,7,3,0,4,0,0,0,1,0,0,2,0,,1,,1,,,19220726,0,KOK01,h,NBG,0,1,0,exhibition,y,y
IN4192207260,jeffj102,IN4,2,value,3,0,5,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,1,,19220726,0,KOK01,h,NBG,0,1,0,exhibition,y,y
CAG192208190,cockp101,HIL,1,value,27,,33,0,0,0,0,0,0,7,,3,0,0,0,0,,,,,1,,,1,,1,19220819,0,CHI09,v,CAG,1,0,0,exhibition,y,
CAG192208190,padrj101,CAG,1,value,27,,35,5,0,0,0,5,,3,,2,0,0,0,2,,,,,,1,,1,,1,19220819,0,CHI09,h,HIL,0,1,0,exhibition,y,
KCM192308052,gateb101,ML4,1,value,15,,23,5,,,0,5,,2,,1,2,0,0,,0,0,,0,,1,,1,,,19230805,2,KAN05,v,KCM,0,1,0,regular,y,
KCM192308052,boggg101,ML4,2,value,9,,14,3,,,0,2,,2,,0,0,0,0,,0,0,,0,,,,,1,,19230805,2,KAN05,v,KCM,0,1,0,regular,y,
KCM192308052,mendj101,KCM,1,value,15,,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,,,1,,,19230805,2,KAN05,h,ML4,1,0,0,regular,y,
KCM192308052,rogab101,KCM,2,value,12,,13,0,0,0,0,0,0,1,,2,0,0,0,0,0,0,,0,,,,,1,,19230805,2,KAN05,h,ML4,1,0,0,regular,y,
PHA192309040,jones104,NYA,1,value,27,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,1,,1,19230904,0,PHI11,v,PHA,1,0,0,regular,y,y
PHA192309040,hastb101,PHA,1,value,27,0,35,7,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,,1,,1,,1,19230904,0,PHI11,h,NYA,0,1,0,regular,y,y
PHA192309070,ehmkh101,BOS,1,value,27,0,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,1,,1,19230907,0,PHI11,v,PHA,1,0,0,regular,y,y
PHA192309070,harrs101,PHA,1,value,27,0,42,9,1,0,0,4,2,5,1,6,0,1,1,0,0,1,0,1,,1,,1,,1,19230907,0,PHI11,h,BOS,0,1,0,regular,y,y
SLN192407170,mcnat101,BSN,1,value,21,0,35,12,1,0,0,5,1,1,0,0,1,1,0,2,0,0,0,0,,1,,1,,,19240717,0,STL07,v,SLN,0,1,0,regular,y,y
SLN192407170,coonj101,BSN,2,value,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,1,,19240717,0,STL07,v,SLN,0,1,0,regular,y,y
SLN192407170,hainj101,SLN,1,value,27,0,30,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,,,1,,1,19240717,0,STL07,h,BSN,1,0,0,regular,y,y
WS1192408250,david102,SLA,1,value,21,0,32,9,2,1,0,2,2,3,0,2,0,0,0,3,0,0,0,1,,1,,1,,1,19240825,0,WAS09,v,WS1,0,1,0,regular,y,y
WS1192408250,johnw102,WS1,1,value,21,0,23,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,,,1,,1,19240825,0,WAS09,h,SLA,1,0,0,regular,y,y
BRO192509131,mitcc102,PHI,1,value,0,3,3,3,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,,1,,1,,,19250913,1,NYC15,v,BRO,0,1,0,regular,y,y
BRO192509131,decaa101,PHI,2,value,12,0,20,7,1,0,0,5,5,2,0,0,0,0,0,0,0,4,0,0,,,,,,,19250913,1,NYC15,v,BRO,0,1,0,regular,y,y
BRO192509131,betth101,PHI,3,value,12,0,17,5,0,0,0,2,2,1,0,4,0,0,0,0,1,1,2,0,,,,,1,,19250913,1,NYC15,v,BRO,0,1,0,regular,y,y
BRO192509131,vancd101,BRO,1,value,27,0,29,0,0,0,0,1,0,1,0,9,0,0,0,0,1,0,0,1,1,,,1,,1,19250913,1,NYC15,h,PHI,1,0,0,regular,y,y
CAG192607132,blach103,DAY,1,value,8,,20,6,,0,0,8,,3,,0,0,0,0,,,,,,,1,,1,,,19260713,2,CHI09,v,CAG,0,1,0,regular,y,
CAG192607132,meyed102,DAY,2,value,7,,15,4,,0,0,6,,2,,1,0,0,0,,,,,,,,,,,,19260713,2,CHI09,v,CAG,0,1,0,regular,y,
CAG192607132,martf103,DAY,3,value,9,,13,1,,0,0,2,,1,,2,0,0,0,,,,,,,,,,1,,19260713,2,CHI09,v,CAG,0,1,0,regular,y,
CAG192607132,currr101,CAG,1,value,27,,27,0,0,0,0,0,0,0,,4,0,0,0,0,,,,,1,,,1,,1,19260713,2,CHI09,h,DAY,1,0,0,regular,y,
BOS192608210,lyont102,CHA,1,value,27,0,29,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,,,1,,1,19260821,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS192608210,harrs101,BOS,1,value,18,0,29,10,2,0,0,5,4,3,0,1,0,1,0,2,0,2,1,0,,1,,1,,,19260821,0,BOS07,h,CHA,0,1,0,regular,y,y
BOS192608210,russj103,BOS,2,value,9,0,13,3,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,,,,,1,,19260821,0,BOS07,h,CHA,0,1,0,regular,y,y
ACY192610030,mcdow101,CAG,1,value,21,0,40,13,2,0,0,10,8,2,0,0,3,0,0,4,1,3,0,0,,1,,1,,,19261003,0,BAL13,v,ACY,0,1,0,championship,y,y
ACY192610030,craws102,CAG,2,value,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,19261003,0,BAL13,v,ACY,0,1,0,championship,y,y
ACY192610030,griec101,ACY,1,value,27,0,34,0,0,0,0,0,0,6,0,8,0,0,0,0,0,1,1,0,1,,,1,,1,19261003,0,BAL13,h,CAG,1,0,0,championship,y,y
BLS192705152,rodrb101,CUE,1,value,24,,35,11,4,0,2,8,,1,,0,0,0,0,1,,,,,,1,,1,,1,19270515,2,BAL13,v,BLS,0,1,0,regular,y,
BLS192705152,yokel101,BLS,1,value,27,,31,0,0,0,0,0,0,2,,1,0,0,0,0,,,,,1,,,1,,1,19270515,2,BAL13,h,CUE,1,0,0,regular,y,
BLS192707311,campb104,HIL,1,value,32,,39,6,0,0,2,2,,3,,5,0,0,0,1,,,,,,1,,1,,1,19270731,1,BAL13,v,BLS,0,1,0,regular,y,
BLS192707311,stroj103,BLS,1,value,33,,36,0,0,0,0,1,,1,,8,1,0,0,0,,,,,1,,,1,,1,19270731,1,BAL13,h,HIL,1,0,0,regular,y,
CAG192708140,bellc102,MEM,1,value,24,,34,9,2,0,0,3,,1,,2,0,0,0,3,,,,,,1,,1,,1,19270814,0,CHI09,v,CAG,0,1,0,regular,y,
CAG192708140,powew101,CAG,1,value,27,,29,0,0,0,0,0,0,3,,7,0,0,0,0,,,,,1,,,1,,1,19270814,0,CHI09,h,MEM,1,0,0,regular,y,
ACY192710080,fostw101,CAG,1,value,18,0,26,5,1,0,0,3,2,3,0,3,0,0,0,2,0,0,0,0,,1,,1,,1,19271008,0,ACY01,v,ACY,0,1,0,championship,y,y
ACY192710080,farrl101,ACY,1,value,21,0,26,0,0,0,0,2,0,5,0,3,0,0,0,1,0,2,0,0,1,,,1,,1,19271008,0,ACY01,h,CAG,1,0,0,championship,y,y
NY1192905080,pettj103,PIT,1,value,4,0,8,3,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,19290508,0,NYC14,v,NY1,0,1,0,regular,y,y
NY1192905080,fussf101,PIT,2,value,4,0,8,3,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,,,,,,,19290508,0,NYC14,v,NY1,0,1,0,regular,y,y
NY1192905080,kremr101,PIT,3,value,16,0,22,6,1,1,1,5,2,0,0,6,0,0,0,0,0,0,1,0,,,,,1,,19290508,0,NYC14,v,NY1,0,1,0,regular,y,y
NY1192905080,hubbc101,NY1,1,value,27,0,30,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,1,,,1,,1,19290508,0,NYC14,h,PIT,1,0,0,regular,y,y
CAG192906290,coopa102,KCM,1,value,22,,26,0,0,0,0,0,0,1,,2,0,0,0,1,,0,,,1,,,1,,,19290629,0,CHI09,v,CAG,1,0,0,regular,y,
CAG192906290,brewc102,KCM,2,value,5,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,1,,19290629,0,CHI09,v,CAG,1,0,0,regular,y,
CAG192906290,holsf101,CAG,1,value,27,,34,8,2,0,0,4,,0,0,2,1,0,0,2,1,,,,,1,,1,,1,19290629,0,CHI09,h,KCM,0,1,0,regular,y,
SSN193010080,trent101,SSN,1,value,27,,,0,,,,0,,,,,,,,,,,,,1,,,1,,1,19301008,0,STL12,h,ASC,1,0,0,exhibition,,
CLE193104290,grays102,SLA,1,value,21,0,31,10,2,0,2,6,6,0,0,1,0,0,0,1,0,0,0,0,,1,,1,,,19310429,0,CLE06,v,CLE,0,1,0,regular,y,y
CLE193104290,stilr103,SLA,2,value,3,0,8,3,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,,,,,1,,19310429,0,CLE06,v,CLE,0,1,0,regular,y,y
CLE193104290,ferrw101,CLE,1,value,27,0,32,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,1,,,1,,1,19310429,0,CLE06,h,SLA,1,0,0,regular,y,y
WS1193108080,moorw101,BOS,1,value,24,0,36,10,1,1,0,5,5,2,1,1,0,0,0,1,0,0,0,0,,1,,1,,1,19310808,0,WAS09,v,WS1,0,1,0,regular,y,y
WS1193108080,burkb102,WS1,1,value,27,0,31,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,1,0,1,,,1,,1,19310808,0,WAS09,h,BOS,1,0,0,regular,y,y
PTC193207082,stann101,NY5,1,value,24,,37,12,2,0,0,6,,1,,3,0,0,0,0,,,,,,1,,1,,1,19320708,2,PIT09,v,PTC,0,1,0,exhibition,y,
PTC193207082,paigs101,PTC,1,value,27,,31,0,0,0,0,0,0,3,,11,0,0,0,0,,,,,1,,,1,,1,19320708,2,PIT09,h,NY5,1,0,0,exhibition,y,
PTC193407041,dulal101,HOM,1,value,19,,25,5,1,,0,3,,1,,1,0,0,0,1,,,,,,1,,1,,,19340704,1,PIT09,v,PTC,0,1,0,exhibition,y,
PTC193407041,stewf102,HOM,2,value,5,,8,3,0,,0,1,,0,0,2,0,0,0,0,,,,,,,,,1,,19340704,1,PIT09,v,PTC,0,1,0,exhibition,y,
PTC193407041,paigs101,PTC,1,value,27,,28,0,0,0,0,0,0,1,,17,0,0,0,0,0,0,,0,1,,,1,,1,19340704,1,PIT09,h,HOM,1,0,0,exhibition,y,
BRO193409212,deanp101,SLN,1,value,27,0,28,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,,,1,,1,19340921,2,NYC15,v,BRO,1,0,0,regular,y,y
BRO193409212,bengr101,BRO,1,value,27,0,33,7,3,1,0,3,3,0,0,1,0,0,0,0,0,0,1,0,,1,,1,,1,19340921,2,NYC15,h,SLN,0,1,0,regular,y,y
CHA193508310,hudlw101,CLE,1,value,24,0,37,10,1,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,19350831,0,CHI10,v,CHA,0,1,0,regular,y,y
CHA193508310,kennv101,CHA,1,value,27,0,30,0,0,0,0,0,0,4,0,5,0,0,0,0,0,1,0,0,1,,,1,,1,19350831,0,CHI10,h,CLE,1,0,0,regular,y,y
NW2193606080,stann101,NY6,1,value,27,,,0,,,,1,,2,,14,,,,,,,,,1,,,1,,1,19360608,0,NBG01,v,NW2,1,0,0,exhibition,,
NW2193606080,bevec101,NW2,2,value,,,,,,,,,,,,,,,,,,,,,,,,,,,19360608,0,NBG01,h,NY6,0,1,0,exhibition,,
NW2193606080,evanb105,NW2,4,value,,,,,,,,,,,,,,,,,,,,,,,,,1,,19360608,0,NBG01,h,NY6,0,1,0,exhibition,,
NW2193606080,mcdut101,NW2,1,value,,,,,,,,,,,,,,,,,,,,,,1,,1,,,19360608,0,NBG01,h,NY6,0,1,0,exhibition,,
NW2193606080,nichb102,NW2,3,value,,,,,,,,,,,,,,,,,,,,,,,,,,,19360608,0,NBG01,h,NY6,0,1,0,exhibition,,
KCM193705161,cornw101,CAG,1,value,24,0,29,3,0,0,0,4,3,5,0,4,0,0,0,0,0,4,0,0,,1,,1,,1,19370516,1,KAN05,v,KCM,0,1,0,regular,y,d
KCM193705161,smith111,KCM,1,value,27,0,27,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,1,,1,19370516,1,KAN05,h,CAG,1,0,0,regular,y,d
CHA193706010,hogsc101,SLA,1,value,3,1,10,2,2,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,,1,,1,,,19370601,0,CHI10,v,CHA,0,1,0,regular,y,y
CHA193706010,vanar101,SLA,2,value,21,0,32,8,1,0,0,5,5,4,0,6,0,1,0,2,0,2,1,0,,,,,1,,19370601,0,CHI10,v,CHA,0,1,0,regular,y,y
CHA193706010,dietb101,CHA,1,value,27,0,29,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,,,1,,1,19370601,0,CHI10,h,SLA,1,0,0,regular,y,y
CI1193708222,housj103,CI1,1,value,21,,22,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,,,1,,1,19370822,2,CLE06,h,DT2,1,0,0,regular,,
BRO193708270,holla101,CIN,1,value,21,0,36,10,1,0,0,5,3,3,0,2,1,0,0,0,0,1,0,0,,1,,1,,1,19370827,0,NYC15,v,BRO,0,1,0,regular,y,y
BRO193708270,franf101,BRO,1,value,23,0,29,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,1,,,1,,1,19370827,0,NYC15,h,CIN,1,0,0,regular,y,y
NNS193709190,paigs101,SDO,1,value,24,0,34,8,1,0,1,2,2,1,1,8,0,0,0,0,0,2,0,0,,1,,1,,1,19370919,0,NYC14,v,NNS,0,1,0,exhibition,y,d
NNS193709190,taylj108,NNS,1,value,27,0,29,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,2,0,1,,,1,,1,19370919,0,NYC14,h,SDO,1,0,0,exhibition,y,d
CIN193806110,macfd101,BSN,1,value,24,0,32,6,0,2,1,3,3,1,0,4,1,0,0,0,0,0,0,0,,1,,1,,1,19380611,0,CIN07,v,CIN,0,1,0,regular,y,y
CIN193806110,vandj101,CIN,1,value,27,0,28,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,,,1,,1,19380611,0,CIN07,h,BSN,1,0,0,regular,y,y
BRO193806150,vandj101,CIN,1,value,27,0,35,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,1,,,1,,1,19380615,0,NYC15,v,BRO,1,0,0,regular,y,y
BRO193806150,butcm101,BRO,1,value,8,0,16,5,0,0,1,4,4,3,0,1,0,0,0,0,0,0,0,0,,1,,1,,,19380615,0,NYC15,h,CIN,0,1,0,regular,y,y
BRO193806150,prest101,BRO,2,value,11,0,14,4,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,,,,,,,19380615,0,NYC15,h,CIN,0,1,0,regular,y,y
BRO193806150,hamll101,BRO,3,value,5,0,9,2,0,1,0,1,0,1,1,3,0,0,0,0,0,1,0,0,,,,,,,19380615,0,NYC15,h,CIN,0,1,0,regular,y,y
BRO193806150,tamuv101,BRO,4,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,19380615,0,NYC15,h,CIN,0,1,0,regular,y,y
KCM193807070,burtd101,BIR,1,value,15,,,3,,,,3,1,,,,,,,,1,,,,,1,,1,1,1,19380707,0,OKC01,v,KCM,0,1,0,regular,,
KCM193807070,bradf104,KCM,1,value,18,,,0,0,0,0,0,0,,,,,,,,,,,,1,,,1,1,1,19380707,0,OKC01,h,BIR,1,0,0,regular,,
NYA193808272,humpj101,CLE,1,value,12,0,26,9,0,1,2,10,7,3,0,3,0,0,0,0,0,0,0,0,,1,,1,,,19380827,2,NYC16,v,NYA,0,1,0,regular,y,y
